iter	Passed	Remaining
0	14	14417
1	28	14243
2	42	14166
3	56	14057
4	71	14138
5	84	14072
6	99	14106
7	113	14041
8	127	14014
9	141	13979
10	155	13941
11	168	13892
12	182	13864
13	196	13838
14	210	13805
15	224	13786
16	238	13764
17	252	13763
18	266	13734
19	279	13712
20	293	13695
21	307	13667
22	321	13639
23	335	13628
24	349	13615
25	363	13605
26	376	13582
27	390	13556
28	404	13542
29	418	13528
30	432	13532
31	446	13512
32	460	13507
33	475	13515
34	489	13496
35	504	13498
36	518	13493
37	532	13474
38	547	13480
39	561	13484
40	576	13481
41	591	13482
42	604	13464
43	619	13461
44	634	13457
45	648	13454
46	663	13451
47	677	13440
48	692	13433
49	706	13424
50	720	13405
51	734	13389
52	748	13368
53	762	13356
54	777	13359
55	791	13343
56	805	13325
57	819	13308
58	833	13300
59	848	13287
60	863	13289
61	877	13281
62	892	13266
63	906	13252
64	920	13246
65	935	13237
66	949	13229
67	964	13215
68	978	13206
69	993	13201
70	1008	13192
71	1022	13184
72	1037	13174
73	1051	13163
74	1066	13151
75	1081	13144
76	1096	13142
77	1110	13131
78	1126	13131
79	1141	13122
80	1155	13112
81	1170	13102
82	1184	13088
83	1200	13087
84	1215	13081
85	1229	13071
86	1245	13066
87	1260	13061
88	1275	13053
89	1289	13037
90	1304	13027
91	1318	13014
92	1333	13000
93	1347	12990
94	1362	12983
95	1377	12974
96	1392	12965
97	1407	12951
98	1422	12942
99	1437	12936
100	1452	12924
101	1466	12913
102	1481	12905
103	1496	12890
104	1510	12877
105	1526	12871
106	1540	12860
107	1555	12846
108	1569	12832
109	1584	12822
110	1599	12811
111	1614	12801
112	1629	12794
113	1644	12777
114	1659	12769
115	1674	12757
116	1688	12744
117	1702	12722
118	1716	12709
119	1730	12690
120	1744	12675
121	1759	12659
122	1773	12648
123	1788	12631
124	1801	12612
125	1815	12592
126	1828	12571
127	1844	12564
128	1859	12552
129	1874	12547
130	1889	12537
131	1904	12522
132	1919	12510
133	1934	12499
134	1948	12483
135	1963	12471
136	1977	12456
137	1991	12438
138	2006	12427
139	2021	12420
140	2036	12407
141	2051	12396
142	2066	12384
143	2081	12371
144	2095	12356
145	2109	12340
146	2124	12326
147	2138	12309
148	2152	12292
149	2166	12276
150	2181	12263
151	2195	12246
152	2209	12229
153	2224	12219
154	2238	12205
155	2252	12188
156	2268	12178
157	2283	12170
158	2299	12161
159	2313	12143
160	2327	12131
161	2342	12115
162	2356	12102
163	2371	12088
164	2386	12077
165	2401	12064
166	2416	12054
167	2430	12039
168	2446	12029
169	2460	12012
170	2475	11999
171	2489	11984
172	2504	11970
173	2518	11955
174	2533	11943
175	2548	11930
176	2562	11915
177	2577	11903
178	2591	11886
179	2606	11873
180	2620	11858
181	2634	11842
182	2649	11830
183	2664	11817
184	2678	11802
185	2694	11791
186	2710	11782
187	2725	11771
188	2740	11760
189	2755	11747
190	2770	11735
191	2784	11719
192	2799	11705
193	2813	11689
194	2827	11673
195	2842	11660
196	2857	11648
197	2872	11633
198	2886	11618
199	2902	11608
200	2916	11594
201	2932	11583
202	2946	11568
203	2960	11551
204	2975	11538
205	2989	11524
206	3004	11510
207	3020	11500
208	3035	11487
209	3050	11474
210	3064	11458
211	3079	11445
212	3093	11431
213	3108	11415
214	3123	11404
215	3138	11392
216	3152	11376
217	3167	11362
218	3183	11351
219	3197	11336
220	3211	11321
221	3226	11306
222	3240	11291
223	3254	11275
224	3270	11265
225	3284	11249
226	3299	11235
227	3313	11220
228	3329	11209
229	3343	11195
230	3358	11180
231	3372	11165
232	3388	11153
233	3403	11140
234	3417	11126
235	3433	11115
236	3448	11103
237	3464	11092
238	3478	11076
239	3493	11063
240	3508	11048
241	3522	11033
242	3536	11017
243	3551	11002
244	3565	10989
245	3582	10979
246	3597	10966
247	3612	10952
248	3626	10938
249	3640	10921
250	3655	10908
251	3670	10894
252	3684	10879
253	3699	10864
254	3713	10849
255	3728	10835
256	3743	10822
257	3759	10812
258	3773	10796
259	3788	10781
260	3802	10767
261	3817	10754
262	3832	10740
263	3847	10726
264	3862	10712
265	3876	10698
266	3891	10684
267	3906	10669
268	3921	10657
269	3936	10643
270	3951	10630
271	3966	10615
272	3980	10601
273	3996	10588
274	4011	10575
275	4026	10562
276	4041	10548
277	4056	10535
278	4071	10520
279	4085	10505
280	4100	10491
281	4114	10476
282	4129	10463
283	4144	10447
284	4158	10431
285	4173	10419
286	4188	10406
287	4204	10394
288	4219	10381
289	4234	10366
290	4248	10352
291	4263	10336
292	4277	10321
293	4291	10306
294	4306	10290
295	4320	10276
296	4335	10261
297	4349	10245
298	4365	10234
299	4379	10218
300	4394	10204
301	4410	10193
302	4424	10178
303	4438	10162
304	4453	10147
305	4468	10134
306	4482	10118
307	4496	10103
308	4511	10089
309	4526	10074
310	4540	10059
311	4554	10043
312	4568	10028
313	4583	10013
314	4597	9998
315	4612	9983
316	4626	9968
317	4641	9954
318	4656	9940
319	4671	9926
320	4685	9911
321	4699	9895
322	4714	9881
323	4731	9871
324	4747	9860
325	4763	9848
326	4777	9832
327	4791	9817
328	4805	9801
329	4821	9788
330	4836	9775
331	4850	9760
332	4865	9746
333	4880	9730
334	4894	9716
335	4909	9702
336	4924	9688
337	4939	9673
338	4954	9660
339	4969	9645
340	4984	9632
341	4999	9618
342	5014	9605
343	5030	9592
344	5044	9576
345	5057	9560
346	5072	9546
347	5086	9530
348	5101	9515
349	5116	9501
350	5130	9485
351	5145	9473
352	5159	9456
353	5174	9443
354	5189	9428
355	5203	9412
356	5217	9397
357	5233	9384
358	5248	9370
359	5262	9355
360	5277	9340
361	5291	9326
362	5306	9312
363	5321	9297
364	5335	9282
365	5349	9267
366	5364	9253
367	5378	9237
368	5393	9223
369	5408	9208
370	5423	9195
371	5439	9182
372	5453	9167
