iter	Passed	Remaining
0	73	73221
1	135	67495
2	198	66078
3	254	63271
4	307	61105
5	358	59415
6	419	59500
7	477	59188
8	532	58673
9	589	58357
10	654	58840
11	717	59060
12	778	59068
13	835	58823
14	886	58194
15	942	57942
16	1002	57951
17	1060	57864
18	1114	57569
19	1164	57038
20	1222	56989
21	1274	56667
22	1330	56505
23	1395	56759
24	1461	56986
25	1520	56968
26	1581	56992
27	1639	56930
28	1701	56984
29	1758	56852
30	1816	56790
31	1896	57383
32	1974	57856
33	2055	58388
34	2124	58567
35	2182	58450
36	2239	58288
37	2300	58234
38	2349	57889
39	2401	57645
40	2455	57440
41	2511	57288
42	2564	57080
43	2617	56869
44	2670	56671
45	2724	56502
46	2775	56275
47	2833	56197
48	2884	55990
49	2942	55905
50	2999	55815
51	3059	55774
52	3111	55587
53	3172	55580
54	3250	55854
55	3322	56014
56	3386	56028
57	3446	55976
58	3508	55953
59	3571	55960
60	3633	55924
61	3702	56018
62	3765	56006
63	3829	56004
64	3885	55897
65	3945	55830
66	3998	55684
67	4054	55565
68	4109	55454
69	4164	55324
70	4217	55179
71	4270	55041
72	4332	55016
73	4395	55006
74	4467	55100
75	4539	55196
76	4601	55161
77	4661	55102
78	4718	55007
79	4772	54883
80	4830	54804
81	4883	54667
82	4956	54758
83	5025	54801
84	5093	54831
85	5152	54761
86	5221	54793
87	5283	54760
88	5345	54721
89	5411	54714
90	5472	54661
91	5534	54621
92	5605	54663
93	5674	54692
94	5738	54664
95	5796	54587
96	5853	54487
97	5907	54376
98	5964	54281
99	6022	54204
100	6086	54179
101	6146	54116
102	6209	54076
103	6275	54065
104	6351	54137
105	6415	54111
106	6519	54414
107	6579	54341
108	6642	54301
109	6710	54295
110	6785	54344
111	6863	54414
112	6932	54413
113	6995	54366
114	7063	54358
115	7122	54279
116	7177	54167
117	7239	54114
118	7296	54015
119	7358	53961
120	7425	53942
121	7487	53886
122	7557	53884
123	7625	53872
124	7677	53745
125	7740	53689
126	7809	53680
127	7874	53648
128	7937	53592
129	8009	53602
130	8071	53541
131	8126	53435
132	8181	53332
133	8235	53220
134	8295	53150
135	8353	53067
136	8414	53002
137	8477	52954
138	8539	52895
139	8604	52854
140	8662	52773
141	8720	52690
142	8777	52601
143	8847	52595
144	8917	52580
145	8979	52521
146	9040	52456
147	9105	52416
148	9174	52397
149	9236	52340
150	9299	52285
151	9369	52269
152	9440	52261
153	9505	52218
154	9565	52145
155	9632	52113
156	9698	52075
157	9760	52017
158	9823	51960
159	9883	51887
160	9943	51817
161	10005	51755
162	10055	51635
163	10122	51600
164	10209	51664
165	10282	51660
166	10345	51605
167	10441	51708
168	10518	51719
169	10586	51684
170	10643	51599
171	10699	51508
172	10753	51407
173	10815	51341
174	10871	51253
175	10927	51162
176	10988	51094
177	11046	51012
178	11103	50927
179	11157	50830
180	11208	50715
181	11265	50632
182	11321	50546
183	11390	50514
184	11446	50425
185	11503	50344
186	11568	50294
187	11631	50239
188	11687	50151
189	11745	50072
190	11804	50000
191	11861	49915
192	11922	49853
193	11988	49807
194	12051	49750
195	12116	49702
196	12183	49660
197	12252	49628
198	12304	49526
199	12366	49465
200	12438	49443
201	12506	49405
202	12584	49407
203	12681	49480
204	12763	49497
205	12834	49468
206	12905	49441
207	12975	49405
208	13041	49357
209	13103	49292
210	13162	49217
211	13222	49147
212	13278	49061
213	13345	49014
214	13407	48953
215	13464	48872
216	13529	48817
217	13599	48783
218	13663	48726
219	13739	48712
220	13819	48712
221	13907	48738
222	13987	48737
223	14057	48700
224	14121	48641
225	14177	48554
226	14247	48516
227	14317	48478
228	14379	48414
229	14441	48347
230	14502	48277
231	14560	48201
232	14623	48139
233	14689	48085
234	14755	48034
235	14822	47983
236	14880	47906
237	14956	47887
238	15040	47891
239	15114	47861
240	15172	47783
241	15227	47695
242	15283	47611
243	15345	47544
244	15415	47505
245	15483	47457
246	15540	47377
247	15595	47288
248	15651	47205
249	15703	47109
250	15761	47033
251	15813	46938
252	15877	46878
253	15935	46802
254	15994	46729
255	16058	46669
256	16119	46602
257	16180	46535
258	16252	46499
259	16327	46470
260	16404	46448
261	16474	46406
262	16544	46363
263	16621	46338
264	16710	46348
265	16784	46315
266	16851	46262
267	16925	46229
268	17004	46209
269	17072	46160
270	17139	46104
271	17204	46046
272	17263	45972
273	17320	45892
274	17379	45819
275	17456	45790
276	17538	45777
277	17614	45745
278	17674	45675
279	17750	45643
280	17829	45620
281	17890	45551
282	17951	45482
283	18008	45401
284	18067	45328
285	18130	45262
286	18181	45169
287	18235	45082
288	18293	45006
289	18351	44928
290	18421	44881
291	18498	44853
292	18573	44817
293	18646	44776
294	18714	44725
295	18772	44648
296	18834	44582
297	18896	44514
298	18957	44444
299	19012	44363
300	19070	44285
301	19121	44193
302	19180	44122
303	19238	44045
304	19302	43984
305	19358	43904
306	19414	43825
307	19477	43762
308	19546	43711
309	19616	43661
310	19675	43590
311	19732	43513
312	19804	43467
313	19871	43412
314	19932	43344
315	19988	43265
316	20052	43204
317	20109	43128
318	20167	43052
319	20240	43010
320	20306	42953
321	20379	42909
322	20453	42869
323	20518	42809
324	20589	42763
325	20668	42731
326	20738	42682
327	20811	42639
328	20873	42572
329	20928	42490
330	20991	42427
331	21050	42355
332	21108	42280
333	21165	42204
334	21221	42127
335	21279	42051
336	21333	41969
337	21384	41883
338	21435	41796
339	21494	41725
340	21564	41673
341	21635	41626
342	21703	41572
343	21782	41537
344	21851	41487
345	21914	41422
346	21972	41349
347	22024	41264
348	22078	41184
349	22132	41102
350	22200	41048
351	22258	40976
352	22315	40901
353	22370	40823
354	22431	40755
355	22492	40688
356	22553	40622
357	22607	40542
358	22662	40464
359	22715	40383
360	22764	40295
361	22821	40220
362	22885	40159
363	22940	40083
364	22992	40001
365	23047	39924
366	23109	39859
367	23171	39794
368	23232	39728
369	23295	39665
370	23362	39609
371	23424	39544
372	23481	39471
373	23542	39405
374	23597	39328
375	23652	39252
376	23710	39181
377	23765	39106
378	23823	39035
379	23879	38961
380	23933	38883
381	23994	38818
382	24056	38753
383	24121	38695
384	24181	38627
385	24236	38552
386	24299	38489
387	24356	38417
388	24411	38343
389	24475	38282
390	24537	38218
391	24611	38173
392	24671	38105
393	24734	38043
394	24826	38026
395	24890	37964
396	24956	37905
397	25024	37851
398	25087	37788
399	25159	37739
400	25226	37681
401	25274	37597
402	25326	37518
403	25379	37440
404	25432	37363
405	25488	37291
406	25543	37216
407	25595	37138
408	25657	37075
409	25715	37005
410	25777	36941
411	25834	36870
412	25887	36794
413	25944	36723
414	25999	36650
415	26060	36585
416	26119	36517
417	26176	36447
418	26234	36377
419	26291	36307
420	26352	36242
421	26414	36179
422	26474	36113
423	26529	36040
424	26594	35980
425	26645	35902
426	26701	35830
427	26763	35767
428	26823	35701
429	26876	35626
430	26940	35565
431	26997	35497
432	27058	35432
433	27115	35362
434	27173	35293
435	27229	35223
436	27290	35159
437	27349	35092
438	27412	35030
439	27482	34977
440	27542	34911
441	27596	34839
442	27655	34772
443	27711	34702
444	27767	34631
445	27822	34559
446	27877	34487
447	27934	34419
448	27996	34356
449	28052	34286
450	28106	34213
451	28160	34141
452	28214	34069
453	28265	33993
454	28322	33924
455	28386	33865
456	28447	33800
457	28506	33734
458	28555	33656
459	28609	33585
460	28666	33517
461	28724	33449
462	28778	33378
463	28831	33305
464	28886	33235
465	28940	33163
466	28998	33096
467	29057	33031
468	29121	32971
469	29179	32904
470	29236	32836
471	29290	32766
472	29349	32700
473	29409	32635
474	29462	32564
475	29519	32495
476	29573	32425
477	29624	32351
478	29683	32286
479	29735	32212
480	29795	32149
481	29864	32094
482	29923	32030
483	29980	31962
484	30034	31891
485	30086	31819
486	30140	31749
487	30196	31681
488	30254	31616
489	30320	31557
490	30376	31489
491	30432	31422
492	30490	31356
493	30548	31290
494	30611	31230
495	30667	31161
496	30723	31094
497	30778	31025
498	30832	30956
499	30889	30889
500	30946	30822
501	30999	30752
502	31055	30685
503	31106	30612
504	31157	30540
505	31214	30474
506	31267	30404
507	31320	30334
508	31375	30265
509	31432	30200
510	31488	30133
511	31542	30063
512	31591	29990
513	31643	29919
514	31702	29855
515	31749	29780
516	31804	29712
517	31856	29642
518	31907	29571
519	31968	29509
520	32022	29440
521	32075	29372
522	32135	29309
523	32192	29243
524	32251	29180
525	32306	29113
526	32367	29051
527	32421	28982
528	32474	28914
529	32532	28849
530	32595	28789
531	32649	28721
532	32700	28651
533	32750	28579
534	32801	28509
535	32860	28446
536	32915	28379
537	32972	28314
538	33024	28245
539	33077	28177
540	33138	28115
